,id,symbol,name
0,money,$$$,Money
1,oxbitcoin,0xbtc,0xBitcoin
2,buttcoin,0xbutt,ButtCoin
3,0xeth-cash,0xech,0xETH Cash
4,0xeth-sv,0xesv,0xETH SV
5,0xeth-classic,0xetc,0xETH Classic
6,0xethereum-token,0xeth,0xEthereum Token
7,0xmaker-token,0xmkr,0xMaker Token
8,10m-token,10mt,10M Token
9,1337,1337,Elite
10,block-18,18c,Block 18
11,1ai,1ai,1AI
12,1million-token,1mt,1Million Token
13,1sg,1sg,1SG
14,first-blood,1st,First Blood
15,uptrennd,1up,Uptrennd
16,1world,1wo,1World
17,1x2-coin,1x2,1X2 Coin
18,2-2-4-4-8,2248,2+2=4+4=8
19,2give,2give,2GIVE
20,cointogo,2go,CoinToGo
21,2x2,2x2,2X2
22,300token,300,300 Token
23,3d-chain,3dc,3D-Chain
24,project-districts,3dc,3DCoin
25,404,404,404
26,42-coin,42,42-coin
27,4a-coin,4ac,4A Coin
28,4xbit,4xb,4xBit
29,520,520,520
30,sixeleven,611,SixEleven
31,777-bingo,777,777.Bingo
32,jackpot,777,Jackpot
33,7eleven,7e,7ELEVEN
34,808coin,808,808Coin
35,808ta-token,808ta,808TA Token
36,octocoin,888,Octocoin
37,888tron,888,888tron
38,8bit,8bit,8Bit
39,999,999,999
40,apm-coin,APM,apM Coin
41,atlas-protocol,ATP,Atlas Protocol
42,bitto-exchange,BITTO,BITTO
43,bitnetcoin,BNC,Bitnetcoin
44,brahmaos,BRM,BrahmaOS
45,coinall-token,CAC,CoinAll Token
46,cryptobucks,CBUCKS,CRYPTOBUCKS
47,coinchase-public-sale,CCH,Coinchase Token
48,civil,CVL,Civil
49,neodiamond,DET,Diamond Exchange Token
50,dether,DTH,Dether
51,emanate,EMT,Emanate
52,extreme-private-masternode-coin,EPM,Extreme Private Masternode Coin
53,e-pocket-token,EPT,e-Pocket Token
54,ether-1,ETHO,Ether-1
55,hive_dollar,HBD,Hive Dollar
56,libra,LIBRA,Facebook Libra
57,liker-world,LKC,Liker World
58,litkoin,LTK,LitKoin
59,my-babypet-chain,MB,My BabyPet Chain
60,mangocoin,MNG,Mangocoin
61,mozo-token,MOZO,Mozo Token
62,netbit,NBIT,netBit
63,smartbillions,PLAY,SmartBillions
64,qura-token,QUT,Qura Token
65,redfishcoin,Redfish,Redfishcoin
66,shrine-cloud-storage-network,SCDS,Shrine Cloud Storage Network
67,seeder-network-token,SEED,Sesameseed
68,safex-token,SFT,Safex Token
69,status,SNT,Status
70,ttanslateme-network-token,TMN,TranslateMe Network Token
71,12ships,TSHP,12Ships
72,twist,TWIST,TWIST
73,stableusd,USDS,Stably Dollar
